"{""richText"":[{""font"":{""bold"":true,""size"":8,""color"":{}},""text"":""Note: ""},{""font"":{""size"":8,""color"":{}},""text"":""The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ""}]}",,,,,,,,,,,,,,,,,,,,,,
"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation",,,,,,"Rank","Value"
"Rockwell","Matson","Male","94","1995-01-01","Programmer Analyst I","Retail","High Net Worth","N","No","3","3682 Crowley Point","4573","QLD","Australia","6","{""formula"":"""",""result"":0.58}","{""formula"":""Q13*(IF(J13=\""Yes\"",1.25,1))"",""result"":0.58}","{""formula"":""R13*(IF(OR(VALUE(P13)>8,VALUE(D13)>80),1.25,1))"",""result"":0.725}","{""formula"":""S13*(IF(H13=\""Mass Customer\"",0.85,1))"",""result"":0.725}","{""formula"":""RANK(W13,W1:W1002,0)"",""result"":10}","10","1.640625"
"Wheeler","Winward","Male","48","1999-08-30","Environmental Specialist","Manufacturing","Mass Customer","N","No","10","3 Golden Leaf Point","3216","VIC","Australia","8","{""formula"":"""",""result"":0.55}","{""formula"":""Q14*(IF(J14=\""Yes\"",1.25,1))"",""result"":0.55}","{""formula"":""R14*(IF(OR(VALUE(P14)>8,VALUE(D14)>80),1.25,1))"",""result"":0.55}","{""formula"":""S14*(IF(H14=\""Mass Customer\"",0.85,1))"",""result"":0.4675}","{""formula"":""RANK(W14,W1:W1002,0)"",""result"":12}","12","1.625"
"Olag",,"Male","60","1990-05-13","Human Resources Manager","Telecommunications","Mass Customer","N","No","9","0484 North Avenue","2032","NSW","Australia","11","{""formula"":"""",""result"":0.43}","{""formula"":""Q15*(IF(J15=\""Yes\"",1.25,1))"",""result"":0.43}","{""formula"":""R15*(IF(OR(VALUE(P15)>8,VALUE(D15)>80),1.25,1))"",""result"":0.5375}","{""formula"":""S15*(IF(H15=\""Mass Customer\"",0.85,1))"",""result"":0.456875}","{""formula"":""RANK(W15,W1:W1002,0)"",""result"":13}","13","1.609375"
"Melba","Spellacy","Female","38","1976-12-09","VP Marketing","Health","Mass Customer","N","No","4","0591 Anzinger Circle","2232","NSW","Australia","10","{""formula"":"""",""result"":0.84}","{""formula"":""Q16*(IF(J16=\""Yes\"",1.25,1))"",""result"":0.84}","{""formula"":""R16*(IF(OR(VALUE(P16)>8,VALUE(D16)>80),1.25,1))"",""result"":1.05}","{""formula"":""S16*(IF(H16=\""Mass Customer\"",0.85,1))"",""result"":0.8925}","{""formula"":""RANK(W16,W1:W1002,0)"",""result"":14}","14","1.59375"
"Mandie","Feares","Female","32","1964-04-19","Clinical Specialist","Health","Mass Customer","N","No","10","39 Kedzie Pass","4053","QLD","Australia","8","{""formula"":"""",""result"":0.8}","{""formula"":""Q17*(IF(J17=\""Yes\"",1.25,1))"",""result"":0.8}","{""formula"":""R17*(IF(OR(VALUE(P17)>8,VALUE(D17)>80),1.25,1))"",""result"":0.8}","{""formula"":""S17*(IF(H17=\""Mass Customer\"",0.85,1))"",""result"":0.68}","{""formula"":""RANK(W17,W1:W1002,0)"",""result"":14}","14","1.59375"
"Dukie","Swire","Male","88","1954-03-31",,"Manufacturing","Affluent Customer","N","Yes","5","64 Granby Parkway","2500","NSW","Australia","8","{""formula"":"""",""result"":0.58}","{""formula"":""Q18*(IF(J18=\""Yes\"",1.25,1))"",""result"":0.725}","{""formula"":""R18*(IF(OR(VALUE(P18)>8,VALUE(D18)>80),1.25,1))"",""result"":0.90625}","{""formula"":""S18*(IF(H18=\""Mass Customer\"",0.85,1))"",""result"":0.90625}","{""formula"":""RANK(W18,W1:W1002,0)"",""result"":16}","16","1.5625"
"Marcelia","Monkleigh","Female","61","1993-08-22","Associate Professor","Manufacturing","Mass Customer","N","Yes","4","610 Swallow Street","4051","QLD","Australia","6","{""formula"":"""",""result"":0.86}","{""formula"":""Q19*(IF(J19=\""Yes\"",1.25,1))"",""result"":1.075}","{""formula"":""R19*(IF(OR(VALUE(P19)>8,VALUE(D19)>80),1.25,1))"",""result"":1.075}","{""formula"":""S19*(IF(H19=\""Mass Customer\"",0.85,1))"",""result"":0.91375}","{""formula"":""RANK(W19,W1:W1002,0)"",""result"":17}","17","1.546875"
"Winnifred","Beswetherick","Female","83","27919","Actuary","Financial Services","Mass Customer","N","No","14","61 4th Street","3040","VIC","Australia","10","{""formula"":"""",""result"":0.9}","{""formula"":""Q20*(IF(J20=\""Yes\"",1.25,1))"",""result"":0.9}","{""formula"":""R20*(IF(OR(VALUE(P20)>8,VALUE(D20)>80),1.25,1))"",""result"":1.125}","{""formula"":""S20*(IF(H20=\""Mass Customer\"",0.85,1))"",""result"":0.9562499999999999}","{""formula"":""RANK(W20,W1:W1002,0)"",""result"":17}","17","1.546875"
"Odilia","Quick","Female","65","1938-11-09","General Manager","Manufacturing","Affluent Customer","N","Yes","11","1550 Russell Way","2222","NSW","Australia","11","{""formula"":"""",""result"":0.53}","{""formula"":""Q21*(IF(J21=\""Yes\"",1.25,1))"",""result"":0.6625000000000001}","{""formula"":""R21*(IF(OR(VALUE(P21)>8,VALUE(D21)>80),1.25,1))"",""result"":0.8281250000000001}","{""formula"":""S21*(IF(H21=\""Mass Customer\"",0.85,1))"",""result"":0.8281250000000001}","{""formula"":""RANK(W21,W1:W1002,0)"",""result"":19}","19","1.53125"
"Karly","Willavize","Female","2","1954-08-12","Internal Auditor","Manufacturing","High Net Worth","N","No","12","193 North Point","2190","NSW","Australia","10","{""formula"":"""",""result"":0.46}","{""formula"":""Q22*(IF(J22=\""Yes\"",1.25,1))"",""result"":0.46}","{""formula"":""R22*(IF(OR(VALUE(P22)>8,VALUE(D22)>80),1.25,1))"",""result"":0.5750000000000001}","{""formula"":""S22*(IF(H22=\""Mass Customer\"",0.85,1))"",""result"":0.5750000000000001}","{""formula"":""RANK(W22,W1:W1002,0)"",""result"":19}","19","1.53125"
"Teddie","Burchill","Male","11","1968-12-21","Programmer I","Manufacturing","Mass Customer","N","Yes","13","321 Raven Plaza","2161","NSW","Australia","9","{""formula"":"""",""result"":0.85}","{""formula"":""Q23*(IF(J23=\""Yes\"",1.25,1))"",""result"":1.0625}","{""formula"":""R23*(IF(OR(VALUE(P23)>8,VALUE(D23)>80),1.25,1))"",""result"":1.328125}","{""formula"":""S23*(IF(H23=\""Mass Customer\"",0.85,1))"",""result"":1.12890625}","{""formula"":""RANK(W23,W1:W1002,0)"",""result"":21}","21","1.515625"
"Gaston","Dallaghan","Male","44","1993-09-29","Financial Analyst","Financial Services","Mass Customer","N","Yes","8","656 Fuller Street","2783","NSW","Australia","7","{""formula"":"""",""result"":0.77}","{""formula"":""Q24*(IF(J24=\""Yes\"",1.25,1))"",""result"":0.9625}","{""formula"":""R24*(IF(OR(VALUE(P24)>8,VALUE(D24)>80),1.25,1))"",""result"":0.9625}","{""formula"":""S24*(IF(H24=\""Mass Customer\"",0.85,1))"",""result"":0.818125}","{""formula"":""RANK(W24,W1:W1002,0)"",""result"":21}","21","1.515625"
"Otis","Ottey","Male","26","1998-02-05","Quality Engineer","n/a","Mass Customer","N","No","3","1562 Merchant Street","4744","QLD","Australia","4","{""formula"":"""",""result"":1.02}","{""formula"":""Q25*(IF(J25=\""Yes\"",1.25,1))"",""result"":1.02}","{""formula"":""R25*(IF(OR(VALUE(P25)>8,VALUE(D25)>80),1.25,1))"",""result"":1.02}","{""formula"":""S25*(IF(H25=\""Mass Customer\"",0.85,1))"",""result"":0.867}","{""formula"":""RANK(W25,W1:W1002,0)"",""result"":23}","23","1.5"
"Tabbatha","Averill","Female","5","28476","Quality Control Specialist","n/a","Affluent Customer","N","Yes","13","663 8th Parkway","2257","NSW","Australia","8","{""formula"":"""",""result"":0.72}","{""formula"":""Q26*(IF(J26=\""Yes\"",1.25,1))"",""result"":0.8999999999999999}","{""formula"":""R26*(IF(OR(VALUE(P26)>8,VALUE(D26)>80),1.25,1))"",""result"":0.8999999999999999}","{""formula"":""S26*(IF(H26=\""Mass Customer\"",0.85,1))"",""result"":0.8999999999999999}","{""formula"":""RANK(W26,W1:W1002,0)"",""result"":23}","23","1.5"
"Brena","Schnitter","Female","78","1982-10-11","Account Executive","Manufacturing","Mass Customer","N","No","4","67 Shelley Street","4703","QLD","Australia","5","{""formula"":"""",""result"":0.61}","{""formula"":""Q27*(IF(J27=\""Yes\"",1.25,1))"",""result"":0.61}","{""formula"":""R27*(IF(OR(VALUE(P27)>8,VALUE(D27)>80),1.25,1))"",""result"":0.61}","{""formula"":""S27*(IF(H27=\""Mass Customer\"",0.85,1))"",""result"":0.5185}","{""formula"":""RANK(W27,W1:W1002,0)"",""result"":25}","25","1.484375"
"Rourke","Gillbard","Male","11","1945-08-03",,"Property","Mass Customer","N","No","17","75 Cordelia Trail","4817","QLD","Australia","4","{""formula"":"""",""result"":0.59}","{""formula"":""Q28*(IF(J28=\""Yes\"",1.25,1))"",""result"":0.59}","{""formula"":""R28*(IF(OR(VALUE(P28)>8,VALUE(D28)>80),1.25,1))"",""result"":0.59}","{""formula"":""S28*(IF(H28=\""Mass Customer\"",0.85,1))"",""result"":0.5015}","{""formula"":""RANK(W28,W1:W1002,0)"",""result"":26}","26","1.46875"
"Dyane","Burwell","Female","19","1952-06-27","Engineer II","Retail","Mass Customer","N","Yes","7","51 Hooker Court","2640","NSW","Australia","2","{""formula"":"""",""result"":0.89}","{""formula"":""Q29*(IF(J29=\""Yes\"",1.25,1))"",""result"":1.1125}","{""formula"":""R29*(IF(OR(VALUE(P29)>8,VALUE(D29)>80),1.25,1))"",""result"":1.1125}","{""formula"":""S29*(IF(H29=\""Mass Customer\"",0.85,1))"",""result"":0.945625}","{""formula"":""RANK(W29,W1:W1002,0)"",""result"":26}","26","1.46875"
"Claudine","Barstowk","Female","71","1966-07-20","Nurse","Property","High Net Worth","N","Yes","5","1859 Forest Circle","4000","QLD","Australia","11","{""formula"":"""",""result"":0.67}","{""formula"":""Q30*(IF(J30=\""Yes\"",1.25,1))"",""result"":0.8375}","{""formula"":""R30*(IF(OR(VALUE(P30)>8,VALUE(D30)>80),1.25,1))"",""result"":1.046875}","{""formula"":""S30*(IF(H30=\""Mass Customer\"",0.85,1))"",""result"":1.046875}","{""formula"":""RANK(W30,W1:W1002,0)"",""result"":26}","26","1.46875"
"Blinnie","Roze","Female","84","1960-12-10","Librarian","Entertainment","High Net Worth","N","No","11","44557 Rutledge Court","4171","QLD","Australia","7","{""formula"":"""",""result"":1.08}","{""formula"":""Q31*(IF(J31=\""Yes\"",1.25,1))"",""result"":1.08}","{""formula"":""R31*(IF(OR(VALUE(P31)>8,VALUE(D31)>80),1.25,1))"",""result"":1.35}","{""formula"":""S31*(IF(H31=\""Mass Customer\"",0.85,1))"",""result"":1.35}","{""formula"":""RANK(W31,W1:W1002,0)"",""result"":26}","26","1.46875"
"Rhona","De Freyne","Female","45","1960-11-22",,"Health","High Net Worth","N","No","8","11184 East Drive","3056","VIC","Australia","10","{""formula"":"""",""result"":0.73}","{""formula"":""Q32*(IF(J32=\""Yes\"",1.25,1))"",""result"":0.73}","{""formula"":""R32*(IF(OR(VALUE(P32)>8,VALUE(D32)>80),1.25,1))"",""result"":0.9125}","{""formula"":""S32*(IF(H32=\""Mass Customer\"",0.85,1))"",""result"":0.9125}","{""formula"":""RANK(W32,W1:W1002,0)"",""result"":30}","30","1.4609375"
"Sharron","Claibourn","Female","62","1980-01-26",,"Financial Services","High Net Worth","N","Yes","17","555 Hermina Avenue","2280","NSW","Australia","8","{""formula"":"""",""result"":0.71}","{""formula"":""Q33*(IF(J33=\""Yes\"",1.25,1))"",""result"":0.8875}","{""formula"":""R33*(IF(OR(VALUE(P33)>8,VALUE(D33)>80),1.25,1))"",""result"":0.8875}","{""formula"":""S33*(IF(H33=\""Mass Customer\"",0.85,1))"",""result"":0.8875}","{""formula"":""RANK(W33,W1:W1002,0)"",""result"":30}","30","1.4609375"
"Brien","Heaton","Male","70","1951-11-28","Clinical Specialist","Health","Mass Customer","N","Yes","12","8 Novick Trail","2470","NSW","Australia","2","{""formula"":"""",""result"":1.01}","{""formula"":""Q34*(IF(J34=\""Yes\"",1.25,1))"",""result"":1.2625}","{""formula"":""R34*(IF(OR(VALUE(P34)>8,VALUE(D34)>80),1.25,1))"",""result"":1.2625}","{""formula"":""S34*(IF(H34=\""Mass Customer\"",0.85,1))"",""result"":1.073125}","{""formula"":""RANK(W34,W1:W1002,0)"",""result"":32}","32","1.453125"
"Sybilla","MacCart","Female","88","1987-01-15","Paralegal","Financial Services","Mass Customer","N","Yes","7","74 Welch Pass","2620","NSW","Australia","7","{""formula"":"""",""result"":0.41}","{""formula"":""Q35*(IF(J35=\""Yes\"",1.25,1))"",""result"":0.5125}","{""formula"":""R35*(IF(OR(VALUE(P35)>8,VALUE(D35)>80),1.25,1))"",""result"":0.640625}","{""formula"":""S35*(IF(H35=\""Mass Customer\"",0.85,1))"",""result"":0.54453125}","{""formula"":""RANK(W35,W1:W1002,0)"",""result"":32}","32","1.453125"
"Mikel","McNess","Male","71","1981-09-22","Nurse","n/a","Mass Customer","N","No","9","3 Pleasure Drive","4122","QLD","Australia","9","{""formula"":"""",""result"":0.7}","{""formula"":""Q36*(IF(J36=\""Yes\"",1.25,1))"",""result"":0.7}","{""formula"":""R36*(IF(OR(VALUE(P36)>8,VALUE(D36)>80),1.25,1))"",""result"":0.875}","{""formula"":""S36*(IF(H36=\""Mass Customer\"",0.85,1))"",""result"":0.74375}","{""formula"":""RANK(W36,W1:W1002,0)"",""result"":32}","32","1.453125"
"Maisie","Maddox","Female","27","28254","Assistant Manager","Financial Services","Affluent Customer","N","No","20","8 Dennis Point","3226","VIC","Australia","9","{""formula"":"""",""result"":0.66}","{""formula"":""Q37*(IF(J37=\""Yes\"",1.25,1))"",""result"":0.66}","{""formula"":""R37*(IF(OR(VALUE(P37)>8,VALUE(D37)>80),1.25,1))"",""result"":0.8250000000000001}","{""formula"":""S37*(IF(H37=\""Mass Customer\"",0.85,1))"",""result"":0.8250000000000001}","{""formula"":""RANK(W37,W1:W1002,0)"",""result"":32}","32","1.453125"
"Arleen","Casbolt","Female","48","1975-05-10","Senior Quality Engineer","Financial Services","Affluent Customer","N","Yes","13","41042 Lotheville Crossing","4817","QLD","Australia","1","{""formula"":"""",""result"":0.77}","{""formula"":""Q38*(IF(J38=\""Yes\"",1.25,1))"",""result"":0.9625}","{""formula"":""R38*(IF(OR(VALUE(P38)>8,VALUE(D38)>80),1.25,1))"",""result"":0.9625}","{""formula"":""S38*(IF(H38=\""Mass Customer\"",0.85,1))"",""result"":0.9625}","{""formula"":""RANK(W38,W1:W1002,0)"",""result"":36}","36","1.44765625"
"Farlie","Petford","Male","76","1968-03-25","Recruiting Manager","n/a","High Net Worth","N","No","13","2330 Butternut Trail","2017","NSW","Australia","10","{""formula"":"""",""result"":0.86}","{""formula"":""Q39*(IF(J39=\""Yes\"",1.25,1))"",""result"":0.86}","{""formula"":""R39*(IF(OR(VALUE(P39)>8,VALUE(D39)>80),1.25,1))"",""result"":1.075}","{""formula"":""S39*(IF(H39=\""Mass Customer\"",0.85,1))"",""result"":1.075}","{""formula"":""RANK(W39,W1:W1002,0)"",""result"":36}","36","1.44765625"
"Mitchell","MacCague","Male","58","1979-04-11",,"Manufacturing","Mass Customer","N","No","15","240 Acker Avenue","3190","VIC","Australia","8","{""formula"":"""",""result"":0.62}","{""formula"":""Q40*(IF(J40=\""Yes\"",1.25,1))"",""result"":0.62}","{""formula"":""R40*(IF(OR(VALUE(P40)>8,VALUE(D40)>80),1.25,1))"",""result"":0.62}","{""formula"":""S40*(IF(H40=\""Mass Customer\"",0.85,1))"",""result"":0.527}","{""formula"":""RANK(W40,W1:W1002,0)"",""result"":38}","38","1.4375"
"Garik","Whitwell","Male","44","1955-06-13",,"Property","Mass Customer","N","Yes","13","04 Dexter Way","3280","VIC","Australia","2","{""formula"":"""",""result"":0.88}","{""formula"":""Q41*(IF(J41=\""Yes\"",1.25,1))"",""result"":1.1}","{""formula"":""R41*(IF(OR(VALUE(P41)>8,VALUE(D41)>80),1.25,1))"",""result"":1.1}","{""formula"":""S41*(IF(H41=\""Mass Customer\"",0.85,1))"",""result"":0.935}","{""formula"":""RANK(W41,W1:W1002,0)"",""result"":38}","38","1.4375"
"Antonin","Britt","Male","64","1993-08-28",,"Manufacturing","Affluent Customer","N","Yes","8","011 Northland Trail","2160","NSW","Australia","9","{""formula"":"""",""result"":0.43}","{""formula"":""Q42*(IF(J42=\""Yes\"",1.25,1))"",""result"":0.5375}","{""formula"":""R42*(IF(OR(VALUE(P42)>8,VALUE(D42)>80),1.25,1))"",""result"":0.671875}","{""formula"":""S42*(IF(H42=\""Mass Customer\"",0.85,1))"",""result"":0.671875}","{""formula"":""RANK(W42,W1:W1002,0)"",""result"":40}","40","1.434375"
"Vinny","Incogna","Female","73","1953-02-13",,"Health","High Net Worth","N","No","10","8 Grayhawk Circle","2756","NSW","Australia","8","{""formula"":"""",""result"":0.62}","{""formula"":""Q43*(IF(J43=\""Yes\"",1.25,1))"",""result"":0.62}","{""formula"":""R43*(IF(OR(VALUE(P43)>8,VALUE(D43)>80),1.25,1))"",""result"":0.62}","{""formula"":""S43*(IF(H43=\""Mass Customer\"",0.85,1))"",""result"":0.62}","{""formula"":""RANK(W43,W1:W1002,0)"",""result"":40}","40","1.434375"
"Colene","Fishleigh","Female","24","1985-03-14","Design Engineer","Financial Services","Mass Customer","N","No","3","44 Darwin Lane","3149","VIC","Australia","10","{""formula"":"""",""result"":0.54}","{""formula"":""Q44*(IF(J44=\""Yes\"",1.25,1))"",""result"":0.54}","{""formula"":""R44*(IF(OR(VALUE(P44)>8,VALUE(D44)>80),1.25,1))"",""result"":0.675}","{""formula"":""S44*(IF(H44=\""Mass Customer\"",0.85,1))"",""result"":0.57375}","{""formula"":""RANK(W44,W1:W1002,0)"",""result"":42}","42","1.421875"
"Neile","Argent","Female","79","1946-10-25",,"Retail","Mass Customer","N","No","8","2548 Arrowood Pass","2024","NSW","Australia","10","{""formula"":"""",""result"":0.83}","{""formula"":""Q45*(IF(J45=\""Yes\"",1.25,1))"",""result"":0.83}","{""formula"":""R45*(IF(OR(VALUE(P45)>8,VALUE(D45)>80),1.25,1))"",""result"":1.0375}","{""formula"":""S45*(IF(H45=\""Mass Customer\"",0.85,1))"",""result"":0.8818749999999999}","{""formula"":""RANK(W45,W1:W1002,0)"",""result"":42}","42","1.421875"
"Corinna","Suggey","Female","52","1966-09-18","Design Engineer","n/a","Affluent Customer","N","No","9","938 Ilene Road","2761","NSW","Australia","8","{""formula"":"""",""result"":0.89}","{""formula"":""Q46*(IF(J46=\""Yes\"",1.25,1))"",""result"":0.89}","{""formula"":""R46*(IF(OR(VALUE(P46)>8,VALUE(D46)>80),1.25,1))"",""result"":0.89}","{""formula"":""S46*(IF(H46=\""Mass Customer\"",0.85,1))"",""result"":0.89}","{""formula"":""RANK(W46,W1:W1002,0)"",""result"":44}","44","1.42109375"
"Brooke","Arling","Male","76","1961-12-05",,"n/a","High Net Worth","N","No","6","6 Melby Center","3027","VIC","Australia","5","{""formula"":"""",""result"":0.97}","{""formula"":""Q47*(IF(J47=\""Yes\"",1.25,1))"",""result"":0.97}","{""formula"":""R47*(IF(OR(VALUE(P47)>8,VALUE(D47)>80),1.25,1))"",""result"":0.97}","{""formula"":""S47*(IF(H47=\""Mass Customer\"",0.85,1))"",""result"":0.97}","{""formula"":""RANK(W47,W1:W1002,0)"",""result"":44}","44","1.42109375"
"Gipsy","Ewestace","Female","29","1956-08-30","Business Systems Development Analyst","Retail","High Net Worth","N","Yes","5","08708 Moulton Park","2034","NSW","Australia","12","{""formula"":"""",""result"":0.53}","{""formula"":""Q48*(IF(J48=\""Yes\"",1.25,1))"",""result"":0.6625000000000001}","{""formula"":""R48*(IF(OR(VALUE(P48)>8,VALUE(D48)>80),1.25,1))"",""result"":0.8281250000000001}","{""formula"":""S48*(IF(H48=\""Mass Customer\"",0.85,1))"",""result"":0.8281250000000001}","{""formula"":""RANK(W48,W1:W1002,0)"",""result"":46}","46","1.4078125"
"Sheena","Kybbye","Female","14","1956-07-16","Paralegal","Financial Services","Affluent Customer","N","Yes","19","306 Clemons Junction","4852","QLD","Australia","1","{""formula"":"""",""result"":0.91}","{""formula"":""Q49*(IF(J49=\""Yes\"",1.25,1))"",""result"":1.1375}","{""formula"":""R49*(IF(OR(VALUE(P49)>8,VALUE(D49)>80),1.25,1))"",""result"":1.1375}","{""formula"":""S49*(IF(H49=\""Mass Customer\"",0.85,1))"",""result"":1.1375}","{""formula"":""RANK(W49,W1:W1002,0)"",""result"":46}","46","1.4078125"
"Jobina","Gobourn","Female","85","1994-12-04","VP Quality Control","n/a","High Net Worth","N","Yes","14","18 Grim Road","4305","QLD","Australia","4","{""formula"":"""",""result"":0.48}","{""formula"":""Q50*(IF(J50=\""Yes\"",1.25,1))"",""result"":0.6}","{""formula"":""R50*(IF(OR(VALUE(P50)>8,VALUE(D50)>80),1.25,1))"",""result"":0.75}","{""formula"":""S50*(IF(H50=\""Mass Customer\"",0.85,1))"",""result"":0.75}","{""formula"":""RANK(W50,W1:W1002,0)"",""result"":46}","46","1.4078125"
